artist_familiarity,artist_hotness,artist_id,artist_latitude,artist_location,artist_longitude,artist_name,duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,release,song_hotness,start_of_fade_out,tempo,time_signature,time_signature_confidence,title,year
0.877213746,1.082502557,ARRH63Y1187FB47783,,"Atlanta, GA",,Kanye West,271.25506,0.363,7,0.766,-5.227,1,0.474,Through The Wire,,259.692,166.037,4,0.785,Through The Wire,2003
0.877213746,1.082502557,ARRH63Y1187FB47783,,"Atlanta, GA",,Kanye West / Adam Levine,204.5122,0,6,0,-11.38,1,0,Heard 'Em Say,,196.499,95.098,4,1,Heard 'Em Say,2005
0.877213746,1.082502557,ARRH63Y1187FB47783,,"Atlanta, GA",,Kanye West,189.962,0.197,1,0.58,-9.644,1,0.567,808s & Heartbreak,0.814517241,187.548,125.593,3,0.432,Street Lights,2008
0.877213746,1.082502557,ARRH63Y1187FB47783,,"Atlanta, GA",,Kanye West / Lupe Fiasco,236.72118,0.258,9,0,-5.263,1,0.072,Touch The Sky,,236.721,106.825,4,1,Touch The Sky,2010
0.877213746,1.082502557,ARRH63Y1187FB47783,,"Atlanta, GA",,Kanye West / Consequence / Cam'Ron,333.34812,0.08,10,0.693,-6.029,0,0.559,Late Registration,,326.124,114.39,4,1,Gone,2005
0.877213746,1.082502557,ARRH63Y1187FB47783,,"Atlanta, GA",,Kanye West,31.32036,0,1,0.188,-12.368,1,0.497,Late Registration,0.7801197,31.32,60.046,1,0,Skit #2 (Kanye West/Late Registration),2005
0.877213746,1.082502557,ARRH63Y1187FB47783,,"Atlanta, GA",,Kanye West,46.602,0,8,0.127,-13.928,1,0.243,The College Dropout,,44.478,201.792,5,0.255,School Spirit Skit 2,2003
0.877213746,1.082502557,ARRH63Y1187FB47783,,"Atlanta, GA",,Kanye West,31.37261,0,11,0.343,-12.352,0,0.485,Late Registration,,31.373,60.276,1,0,Skit #2 (Kanye West/Late Registration),2005
0.877213746,1.082502557,ARRH63Y1187FB47783,,"Atlanta, GA",,Kanye West,247.64036,2.014,7,0.569,-5.597,1,0.578,Late Orchestration,,242.707,81.53,4,0.859,Diamonds From Sierra Leone,2005
0.90284076,1.021255587,ARF8HTQ1187B9AE693,,"Paris, France",,Daft Punk,329.53424,0,5,0.055,-5.019,0,0.419,Homework,0.8622545,311.025,111.201,4,1,Da Funk,1995
